id,api_model,api_link,is_boosted,title,alt_titles,main_reference_number,has_not_been_viewed_much,boost_rank,date_start,date_end,date_display,date_qualifier_title,date_qualifier_id,artist_display,place_of_origin,description,short_description,dimensions,dimensions_detail,medium_display,inscriptions,credit_line,catalogue_display,publication_history,exhibition_history,provenance_text,edition,publishing_verification_level,internal_department_id,fiscal_year,fiscal_year_deaccession,is_public_domain,is_zoomable,max_zoom_window_size,copyright_notice,has_multimedia_resources,has_educational_resources,has_advanced_imaging,colorfulness,latitude,longitude,latlon,is_on_view,on_loan_display,gallery_title,gallery_id,nomisma_id,artwork_type_title,artwork_type_id,department_title,department_id,artist_id,artist_title,alt_artist_ids,artist_ids,artist_titles,category_ids,category_titles,term_titles,style_id,style_title,alt_style_ids,style_ids,style_titles,classification_id,classification_title,alt_classification_ids,classification_ids,classification_titles,subject_id,alt_subject_ids,subject_ids,subject_titles,material_id,alt_material_ids,material_ids,material_titles,technique_id,alt_technique_ids,technique_ids,technique_titles,theme_titles,image_id,alt_image_ids,document_ids,sound_ids,video_ids,text_ids,section_ids,section_titles,site_ids,suggest_autocomplete_all,source_updated_at,updated_at,timestamp,thumbnail.lqip,thumbnail.width,thumbnail.height,thumbnail.alt_text,color.h,color.l,color.s,color.percentage,color.population,suggest_autocomplete_boosted,color,thumbnail
128182,artworks,https://api.artic.edu/api/v1/artworks/128182,False,"Boaz and Ruth, from Religious Events, No. 1 and No. 2",,1946.981.5,True,,1853.0,1853.0,c. 1853,c.,60.0,"George Baxter
English, 1804-1867",England,,,Sheet: 4.5 × 2.3 cm (1 13/16 × 15/16 in.); mount: 11.4 × 8 cm (4 1/2 × 3 3/16 in.),"[{'depth': None, 'width': 2, 'height': 4, 'diameter': None, 'clarification': 'Sheet'}, {'depth': None, 'width': 8, 'height': 11, 'diameter': None, 'clarification': 'mount'}]","Steel etching and stipple, with block printing in colors (from 8 blocks), on wove paper, laid down on wove paper mount with block printing in gold",,Gift of Henry M. Huxley,<p>Lewis 139</p><p>Huxley 328</p>,,,,,Web Cataloged,3,,,True,True,-1,,False,False,False,0.0,,,,False,,,,,Print,18,Prints and Drawings,PC-13,33554.0,George Baxter,[],[33554],['George Baxter'],['PC-13'],['Prints and Drawings'],"['etching', 'paper (fiber product)', 'print', 'prints and drawing']",,,[],[],[],TM-18,etching,"['TM-17', 'TM-4']","['TM-18', 'TM-17', 'TM-4']","['etching', 'print', 'prints and drawing']",,[],[],[],TM-2982,[],['TM-2982'],['paper (fiber product)'],,[],[],[],[],3af70794-4bd6-7c3c-73a1-267219daa830,[],[],[],[],[],[],[],[],"[{'input': ['1946.981.5'], 'contexts': {'groupings': ['accession']}}, {'input': ['Boaz and Ruth, from Religious Events, No. 1 and No. 2'], 'weight': 1, 'contexts': {'groupings': ['title']}}]",2026-05-01T09:34:44-05:00,2026-05-27T02:31:38-05:00,2026-05-27T02:31:39-05:00,"data:image/gif;base64,R0lGODlhBAAFAPQAAJmJbLOni7Wliburi9DIqtHKrt7WuN/WueDYu+HZvOHZveXdweTdwubfwuniyOvky+zlyerjzezmzvLt1AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACH5BAAAAAAAIf8LSW1hZ2VNYWdpY2sOZ2FtbWE9MC40NTQ1NDUALAAAAAAEAAUAAAURIKMciEIUxwQEkCQMTPQ4TAgAOw==",2165.0,3000.0,"A work made of steel etching and stipple, with block printing in colors (from 8 blocks), on wove paper, laid down on wove paper mount with block printing in gold.",40.0,55.0,45.0,0.0001077752117013087,7.0,,,
61627,artworks,https://api.artic.edu/api/v1/artworks/61627,False,"China: Its State and Prospects, with Special References to the Spread of the Gospel",,1947.780,True,,1838.0,1838.0,"1838, republished 1842",,,"George Baxter (English, 1804-1867)
text by Walter Henry Medhurst (English, 1796-1857)
published by John Snow, London",England,,,23.6 × 15.6 × 4.5 cm (9 5/16 × 6 3/16 × 1 13/16 in.),"[{'depth': 4, 'width': 15, 'height': 23, 'diameter': None, 'clarification': None}]","Book with letterpress, one color wood engraving, and one wood engraving in black, on cream wove paper, bound in hardcover with light brown cloth",,Gift of Henry M. Huxley,<p>Lewis 40</p><p>Huxley 158</p>,,,,,Web Cataloged,3,,,True,True,-1,,False,False,False,0.0,,,,False,,,,,Book,11,Prints and Drawings,PC-13,33554.0,George Baxter,[],[33554],['George Baxter'],['PC-13'],['Prints and Drawings'],"['wood engraving', 'paper (fiber product)', 'book', 'prints and drawing']",,,[],[],[],TM-259,wood engraving,"['TM-11', 'TM-4']","['TM-259', 'TM-11', 'TM-4']","['wood engraving', 'book', 'prints and drawing']",,[],[],[],TM-2982,[],['TM-2982'],['paper (fiber product)'],,[],[],[],[],e8a0a4fd-9b48-840a-77a3-3218aad0815a,[],[],[],[],[],[],[],[],"[{'input': ['1947.780'], 'contexts': {'groupings': ['accession']}}, {'input': ['China: Its State and Prospects, with Special References to the Spread of the Gospel'], 'weight': 1, 'contexts': {'groupings': ['title']}}]",2026-05-01T09:34:44-05:00,2026-05-27T02:31:38-05:00,2026-05-27T02:31:39-05:00,"data:image/gif;base64,R0lGODlhAwAFAPMAAF1SQWJXRGpfTm9lVnBkVnFmV3dsXXdtX3lvYntyZIB3aIB2aYR5bYV8cIyCdwAAACH5BAAAAAAAIf8LSW1hZ2VNYWdpY2sOZ2FtbWE9MC40NTQ1NDUALAAAAAADAAUAAAQLcI1WQjpiFXAYchEAOw==",2053.0,3000.0,"A work made of book with letterpress, one color wood engraving, and one wood engraving in black, on cream wove paper, bound in hardcover with light brown cloth.",37.0,55.0,9.0,0.007631108946257509,470.0,,,
61615,artworks,https://api.artic.edu/api/v1/artworks/61615,False,Baxter's Agricultural and Horticultural Annual,,1947.774,True,,1836.0,1836.0,1836,,,"George Baxter (English, 1804-1867)
text by John Baxter (English, 1781-1858)
printed by Baxter and Son, Lewis
published by Simpkin, Marshall, and Co., London",England,,,20.8 × 13.2 × 2.3 cm (8 1/4 × 5 1/4 × 15/16 in.),"[{'depth': 2, 'width': 13, 'height': 20, 'diameter': None, 'clarification': None}]","Book with letterpress and two Baxter prints on cream wove paper, bound in hardcover with green cloth",,Gift of Henry M. Huxley,<p>Lewis Books: 3</p><p>Huxley 145</p>,,,,,Web Cataloged,3,,,True,True,-1,,False,False,False,0.0,,,,False,,,,,Book,11,Prints and Drawings,PC-13,33554.0,George Baxter,[],[33554],['George Baxter'],['PC-13'],['Prints and Drawings'],"['wood engraving', 'paper (fiber product)', 'book', 'prints and drawing']",,,[],[],[],TM-259,wood engraving,"['TM-11', 'TM-4']","['TM-259', 'TM-11', 'TM-4']","['wood engraving', 'book', 'prints and drawing']",,[],[],[],TM-2982,[],['TM-2982'],['paper (fiber product)'],,[],[],[],[],ccb3a92a-e5d4-751d-3926-53ad2630a87d,[],[],[],[],[],[],[],[],"[{'input': ['1947.774'], 'contexts': {'groupings': ['accession']}}, {'input': [""Baxter's Agricultural and Horticultural Annual""], 'weight': 1, 'contexts': {'groupings': ['title']}}]",2026-05-01T09:34:44-05:00,2026-05-27T02:31:38-05:00,2026-05-27T02:31:39-05:00,"data:image/gif;base64,R0lGODlhAwAFAPMAACAuKCAvKSExKzM+ODRAPDhCPjhFPjtGQD1IQjxIQz9MRUpSTEpSTkxVT1JaVQAAACH5BAAAAAAAIf8LSW1hZ2VNYWdpY2sOZ2FtbWE9MC40NTQ1NDUALAAAAAADAAUAAAQLcI2GgkFCkXBWcREAOw==",1927.0,3000.0,"A work made of book with letterpress and two baxter prints on cream wove paper, bound in hardcover with green cloth.",42.0,46.0,21.0,0.00015568240788790867,9.0,,,
59585,artworks,https://api.artic.edu/api/v1/artworks/59585,False,The Reconciliation,,1946.1004,True,,1852.0,1852.0,1852,,,"George Baxter
English, 1804-1867",England,,,Image: 20.5 × 16.7 cm (8 1/8 × 6 5/8 in.); mount: 35 × 26.5 cm (13 13/16 × 10 7/16 in.),"[{'depth': None, 'width': 16, 'height': 20, 'diameter': None, 'clarification': 'Image'}, {'depth': None, 'width': 26, 'height': 35, 'diameter': None, 'clarification': 'mount'}]","Steel etching, aquatint, and stipple printed in black, with block printing in colors, on wove paper, laid down on original stamped mount",,Gift of Henry M. Huxley,<p>Lewis 332</p><p>Huxley 165</p>,,,,,Web Cataloged,3,,,True,True,-1,,False,False,False,0.0,,,,False,,,,,Print,18,Prints and Drawings,PC-13,33554.0,George Baxter,[],[33554],['George Baxter'],['PC-13'],['Prints and Drawings'],"['wood engraving', 'paper (fiber product)', 'print', 'prints and drawing']",,,[],[],[],TM-259,wood engraving,"['TM-17', 'TM-4']","['TM-259', 'TM-17', 'TM-4']","['wood engraving', 'print', 'prints and drawing']",,[],[],[],TM-2982,[],['TM-2982'],['paper (fiber product)'],,[],[],[],[],bc200147-b9ee-7184-30f2-c1f5fca23f70,[],[],[],[],[],[],[],[],"[{'input': ['1946.1004'], 'contexts': {'groupings': ['accession']}}, {'input': ['The Reconciliation'], 'weight': 1, 'contexts': {'groupings': ['title']}}]",2026-05-01T09:34:44-05:00,2026-05-27T02:31:38-05:00,2026-05-27T02:31:39-05:00,"data:image/gif;base64,R0lGODlhBAAFAPQAAJOFWJ6QZKOUbMq9lsW8nsW9oMrBpszDpdjPstjQsuHZvePcwufgxunhx+fhyOjhyOrjyejky+/nze7n0AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACH5BAAAAAAAIf8LSW1hZ2VNYWdpY2sOZ2FtbWE9MC40NTQ1NDUALAAAAAAEAAUAAAURYPNMkhIdSDIARBEIxuI8TAgAOw==",2304.0,3000.0,"A work made of steel etching, aquatint, and stipple printed in black, with block printing in colors, on wove paper, laid down on original stamped mount.",44.0,38.0,40.0,0.0032986111111111107,228.0,,,
59553,artworks,https://api.artic.edu/api/v1/artworks/59553,False,The Descent from the Cross,,1946.988,True,,1852.0,1852.0,1852,,,"George Baxter (English, 1804-1867)
after Peter Paul Rubens (Flemish, 1577-1640)",England,,,Image: 20.6 × 16.5 cm (8 1/8 × 6 1/2 in.); mount: 33.5 × 26.1 cm (13 1/4 × 10 5/16 in.),"[{'depth': None, 'width': 16, 'height': 20, 'diameter': None, 'clarification': 'Image'}, {'depth': None, 'width': 26, 'height': 33, 'diameter': None, 'clarification': 'mount'}]","Steel etching, aquatint, and stipple printed in black, with block printing in colors, on wove paper laid down on original card mount",,Gift of Henry M. Huxley,<p>Lewis 236</p><p>Huxley 25</p>,,,,,Web Cataloged,3,,,True,True,-1,,False,False,False,0.0,,,,False,,,,,Print,18,Prints and Drawings,PC-13,33554.0,George Baxter,[],[33554],['George Baxter'],['PC-13'],['Prints and Drawings'],"['wood engraving', 'paper (fiber product)', 'print', 'prints and drawing']",,,[],[],[],TM-259,wood engraving,"['TM-17', 'TM-4']","['TM-259', 'TM-17', 'TM-4']","['wood engraving', 'print', 'prints and drawing']",,[],[],[],TM-2982,[],['TM-2982'],['paper (fiber product)'],,[],[],[],[],5ae11e7a-1de0-2a88-24d1-f2d8074b835d,[],[],[],[],[],[],[],[],"[{'input': ['1946.988'], 'contexts': {'groupings': ['accession']}}, {'input': ['The Descent from the Cross'], 'weight': 1, 'contexts': {'groupings': ['title']}}]",2026-05-01T09:34:44-05:00,2026-05-27T02:31:38-05:00,2026-05-27T02:31:39-05:00,"data:image/gif;base64,R0lGODlhBAAFAPQAAFo6JGFLMm9WNWlXOHRhRHVmS7Sohb6wjcS1jcm5j8q5kMu6kMm4k9HAl+HOo+LPouTTqOfVqevdru/erwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACH5BAAAAAAAIf8LSW1hZ2VNYWdpY2sOZ2FtbWE9MC40NTQ1NDUALAAAAAAEAAUAAAUR4NMoj0IUhxIARjIICDRJUQgAOw==",2362.0,3000.0,"A work made of steel etching, aquatint, and stipple printed in black, with block printing in colors, on wove paper laid down on original card mount.",7.0,37.0,78.0,0.0004515946937623483,32.0,,,
54406,artworks,https://api.artic.edu/api/v1/artworks/54406,False,"Dripping Well, Hastings",,1945.609,True,,1850.0,1850.0,1850,,,"George Baxter
English, 1804-1867",England,,,Sheet: 6.7 × 10.3 cm (2 11/16 × 4 1/16 in.); mount: 11.7 × 17.5 cm (4 5/8 × 6 15/16 in.),"[{'depth': None, 'width': 10, 'height': 6, 'diameter': None, 'clarification': 'Sheet'}, {'depth': None, 'width': 17, 'height': 11, 'diameter': None, 'clarification': 'mount'}]","Steel etching, aquatint, and stipple printed in purple, with block printing in colors, on wove paper, laid down on original stamped mount",,Gift of Henry M. Huxley,<p>Lewis 302</p><p>Huxley 28</p>,,,,,Web Cataloged,3,,,True,True,-1,,False,False,False,0.0,,,,False,,,,,Print,18,Prints and Drawings,PC-13,33554.0,George Baxter,[],[33554],['George Baxter'],['PC-13'],['Prints and Drawings'],"['wood engraving', 'paper (fiber product)', 'print', 'prints and drawing']",,,[],[],[],TM-259,wood engraving,"['TM-17', 'TM-4']","['TM-259', 'TM-17', 'TM-4']","['wood engraving', 'print', 'prints and drawing']",,[],[],[],TM-2982,[],['TM-2982'],['paper (fiber product)'],,[],[],[],[],241be79c-f4f3-9531-9e94-ed2783aacbcc,[],[],[],[],[],[],[],[],"[{'input': ['1945.609'], 'contexts': {'groupings': ['accession']}}, {'input': ['Dripping Well, Hastings'], 'weight': 1, 'contexts': {'groupings': ['title']}}]",2026-05-01T09:34:44-05:00,2026-05-27T02:31:38-05:00,2026-05-27T02:31:39-05:00,"data:image/gif;base64,R0lGODlhBwAFAPUAAEo1JWVKMWRONWZQNnhiT4BsU4h1WquXdqaVfKiXeLOferOjhripjbuuk9DDpNXJqd7PqtnNr9rOr9zPsOTVseTWseTWsuDUtebZtujbt+rduejcvO/hve3iwfDkw/HnxfPoxgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACH5BAAAAAAAIf8LSW1hZ2VNYWdpY2sOZ2FtbWE9MC40NTQ1NDUALAAAAAAHAAUAAAYgwM0lEnFMKh7FoCBgcD4JACHQAGkWBsTh0YFUMuAKJggAOw==",3000.0,2035.0,"A work made of steel etching, aquatint, and stipple printed in purple, with block printing in colors, on wove paper, laid down on original stamped mount.",40.0,53.0,44.0,0.0009336609336609336,57.0,,,
128204,artworks,https://api.artic.edu/api/v1/artworks/128204,False,"Queen's Floral Needle Box Set, also called Ten Bouquets",,1946.980B.4,True,,1850.0,1850.0,1850,,,"George Baxter
English, 1804-1867",England,,,Sheet: 4.6 × 2.6 cm (1 13/16 × 1 1/16 in.),"[{'depth': None, 'width': 2, 'height': 4, 'diameter': None, 'clarification': 'Sheet'}]","Steel etching and stipple printed in purple, with block printing in colors (from 9 blocks), on wove paper",,Gift of Henry M. Huxley,<p>Lewis 134</p><p>Huxley 232</p>,,,,,Web Cataloged,3,,,True,True,-1,,False,False,False,0.0,,,,False,,,,,Print,18,Prints and Drawings,PC-13,33554.0,George Baxter,[],[33554],['George Baxter'],['PC-13'],['Prints and Drawings'],"['etching', 'paper (fiber product)', 'print', 'prints and drawing']",,,[],[],[],TM-18,etching,"['TM-17', 'TM-4']","['TM-18', 'TM-17', 'TM-4']","['etching', 'print', 'prints and drawing']",,[],[],[],TM-2982,[],['TM-2982'],['paper (fiber product)'],,[],[],[],[],0c3599ba-97b1-fa0e-0656-c8aab53cb557,[],[],[],[],[],[],[],[],"[{'input': ['1946.980B.4'], 'contexts': {'groupings': ['accession']}}, {'input': [""Queen's Floral Needle Box Set, also called Ten Bouquets""], 'weight': 1, 'contexts': {'groupings': ['title']}}]",2026-05-01T09:34:44-05:00,2026-05-27T02:31:37-05:00,2026-05-27T02:31:39-05:00,"data:image/gif;base64,R0lGODlhAwAFAPMAAKiRbrymfbaof8Sof7ipir2siL+xkcCuism0j8e2kMq5kMy/mM3AmtDCnNDDngAAACH5BAAAAAAAIf8LSW1hZ2VNYWdpY2sOZ2FtbWE9MC40NTQ1NDUALAAAAAADAAUAAAQL0B1ngiIDJVCWYBEAOw==",852.0,1395.0,"A work made of steel etching and stipple printed in purple, with block printing in colors (from 9 blocks), on wove paper.",50.0,47.0,70.0,0.006478536692075993,77.0,,,
61613,artworks,https://api.artic.edu/api/v1/artworks/61613,False,Le Souvenir or Pocket Tablet for 1848,,1947.773,True,,1848.0,1848.0,1848,Published,10.0,"George Baxter (English, 1804-1867)
published by R & A Suttaby, London",England,,,12 × 7.8 × 1.1 cm (4 3/4 × 3 1/8 × 7/16 in.),"[{'depth': 1, 'width': 7, 'height': 12, 'diameter': None, 'clarification': None}]","Book with letterpress, six color wood engravings and steel etchings, and collage of newspaper clippings on ivory wove paper, bound in red paper cover, tucked in paperboard slipcase with engraving in black on cream wove paper",,Gift of Henry M. Huxley,<p>Lewis 107</p><p>Huxley 168</p>,,,,,Web Cataloged,3,,,True,True,-1,,False,False,False,0.0,,,,False,,,,,Book,11,Prints and Drawings,PC-13,33554.0,George Baxter,[],[33554],['George Baxter'],['PC-13'],['Prints and Drawings'],"['etching', 'paper (fiber product)', 'book', 'prints and drawing']",,,[],[],[],TM-18,etching,"['TM-11', 'TM-4']","['TM-18', 'TM-11', 'TM-4']","['etching', 'book', 'prints and drawing']",,[],[],[],TM-2982,[],['TM-2982'],['paper (fiber product)'],,[],[],[],[],8ad31a04-a034-90c1-071e-733d7ca76a1e,[],[],[],[],[],[],[],[],"[{'input': ['1947.773'], 'contexts': {'groupings': ['accession']}}, {'input': ['Le Souvenir or Pocket Tablet for 1848'], 'weight': 1, 'contexts': {'groupings': ['title']}}]",2026-05-01T09:34:44-05:00,2026-05-27T02:31:37-05:00,2026-05-27T02:31:39-05:00,"data:image/gif;base64,R0lGODlhAwAFAPMAAJRyVpZ/XpaAX56EWp2EXp+GX6OIWqeLX5uEZaCGYqGJY6aNZ6aOZ6SNba6XbgAAACH5BAAAAAAAIf8LSW1hZ2VNYWdpY2sOZ2FtbWE9MC40NTQ1NDUALAAAAAADAAUAAAQLUIBQTFnDqbNQahEAOw==",1940.0,2848.0,"A work made of book with letterpress, six color wood engravings and steel etchings, and collage of newspaper clippings on ivory wove paper, bound in red paper cover, tucked in paperboard slipcase with engraving in black on cream wove paper.",37.0,66.0,37.0,0.005194457314954245,287.0,,,
61539,artworks,https://api.artic.edu/api/v1/artworks/61539,False,The Holy Family,,1947.748,True,,1849.0,1850.0,1849–50,,,"George Baxter
English, 1804-1867",England,,,Image: 15 × 9.9 cm (5 15/16 × 3 15/16 in.); secondary support: 34 × 25.1 cm (13 7/16 × 9 15/16 in.),"[{'depth': None, 'width': 9, 'height': 15, 'diameter': None, 'clarification': 'Image'}, {'depth': None, 'width': 25, 'height': 34, 'diameter': None, 'clarification': 'secondary support'}]","Steel etching and stipple printed in black, with block printing in colors, on wove paper, laid down on cover of a collection of sheet music",,Gift of Henry M. Huxley,<p>Lewis 234</p><p>Huxley 266</p>,,,,,Web Cataloged,3,,,True,True,-1,,False,False,False,0.0,,,,False,,,,,Print,18,Prints and Drawings,PC-13,33554.0,George Baxter,[],[33554],['George Baxter'],['PC-13'],['Prints and Drawings'],"['wood engraving', 'paper (fiber product)', 'print', 'prints and drawing']",,,[],[],[],TM-259,wood engraving,"['TM-17', 'TM-4']","['TM-259', 'TM-17', 'TM-4']","['wood engraving', 'print', 'prints and drawing']",,[],[],[],TM-2982,[],['TM-2982'],['paper (fiber product)'],,[],[],[],[],a2f7da4b-ae08-93e8-b4ec-df1f8217ad4e,[],[],[],[],[],[],[],[],"[{'input': ['1947.748'], 'contexts': {'groupings': ['accession']}}, {'input': ['The Holy Family'], 'weight': 1, 'contexts': {'groupings': ['title']}}]",2026-05-01T09:34:44-05:00,2026-05-27T02:31:37-05:00,2026-05-27T02:31:39-05:00,"data:image/gif;base64,R0lGODlhBAAFAPQAAFhNSHpsXJCDb6idh6ujkrevmeHZv+DZw+XcxOvjxenix+vjx+njyOriyevlze3n0O/q0O/p0/Lr1PXv1wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACH5BAAAAAAAIf8LSW1hZ2VNYWdpY2sOZ2FtbWE9MC40NTQ1NDUALAAAAAAEAAUAAAURICJNTTQITxQAjVMQy7EsRggAOw==",2232.0,3000.0,"A work made of steel etching and stipple printed in black, with block printing in colors, on wove paper, laid down on cover of a collection of sheet music.",47.0,43.0,71.0,0.00011947431302270011,8.0,,,
59611,artworks,https://api.artic.edu/api/v1/artworks/59611,False,"Australia, News From Home",,1946.1016,True,,1853.0,1853.0,1853,,,"George Baxter
English, 1804-1867",England,,,Image: 11 × 14.9 cm (4 3/8 × 5 7/8 in.); mount (trimmed): 12.3 × 16.4 cm (4 7/8 × 6 1/2 in.),"[{'depth': None, 'width': 14, 'height': 11, 'diameter': None, 'clarification': 'Image'}, {'depth': None, 'width': 16, 'height': 12, 'diameter': None, 'clarification': 'mount (trimmed)'}]","Steel etching, aquatint, and stipple printed in black, with block printing in colors, on wove paper, laid down on original card mount (trimmed)",,Gift of Henry M. Huxley,<p>Lewis 195</p><p>Huxley 126</p>,,,,,Web Cataloged,3,,,True,True,-1,,False,False,False,0.0,,,,False,,,,,Print,18,Prints and Drawings,PC-13,33554.0,George Baxter,[],[33554],['George Baxter'],['PC-13'],['Prints and Drawings'],"['etching', 'paper (fiber product)', 'print', 'prints and drawing']",,,[],[],[],TM-18,etching,"['TM-17', 'TM-4']","['TM-18', 'TM-17', 'TM-4']","['etching', 'print', 'prints and drawing']",,[],[],[],TM-2982,[],['TM-2982'],['paper (fiber product)'],,[],[],[],[],90f9a895-db71-b76f-d3f1-26821d8b2a5f,[],[],[],[],[],[],[],[],"[{'input': ['1946.1016'], 'contexts': {'groupings': ['accession']}}, {'input': ['Australia, News From Home'], 'weight': 1, 'contexts': {'groupings': ['title']}}]",2026-05-01T09:34:44-05:00,2026-05-27T02:31:37-05:00,2026-05-27T02:31:39-05:00,"data:image/gif;base64,R0lGODlhBwAFAPUAAFM/LUY/OFZALGBNPWFSRGZbS3ddQHFgTHtjSHNkUHNnVX5sUIdrR4ptRoZrSoRvU4dwWIlzWox2W457XZl+XJt+XIx3YIx/apuBXpGCZ5eGbKKNbK6TaqeQcq+WcaGUecOoc8emeLislAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACH5BAAAAAAAIf8LSW1hZ2VNYWdpY2sOZ2FtbWE9MC40NTQ1NDUALAAAAAAHAAUAAAYhQM2hkHhcPpBBABARZSwEBWICwkgEBgejsehUQhxPZRMEADs=",3000.0,2271.0,"A work made of steel etching, aquatint, and stipple printed in black, with block printing in colors, on wove paper, laid down on original card mount (trimmed).",38.0,64.0,54.0,0.004418024365184206,301.0,,,
59583,artworks,https://api.artic.edu/api/v1/artworks/59583,False,"Verona, Evening Scene",,1946.1003,True,,1850.0,1850.0,1850,,,"George Baxter
English, 1804-1867",England,,,Image: 15 × 9.8 cm (5 15/16 × 3 7/8 in.); mount: 28.5 × 21.3 cm (11 1/4 × 8 7/16 in.),"[{'depth': None, 'width': 9, 'height': 15, 'diameter': None, 'clarification': 'Image'}, {'depth': None, 'width': 21, 'height': 28, 'diameter': None, 'clarification': 'mount'}]","Steel etching, aquatint, and stipple printed in black, with block printing in colors, on wove paper, laid down on original stamped mount",,Gift of Henry M. Huxley,<p>Lewis 328</p><p>Huxley 216</p>,,,,,Web Cataloged,3,,,True,True,-1,,False,False,False,0.0,,,,False,,,,,Print,18,Prints and Drawings,PC-13,33554.0,George Baxter,[],[33554],['George Baxter'],['PC-13'],['Prints and Drawings'],"['wood engraving', 'paper (fiber product)', 'print', 'prints and drawing']",,,[],[],[],TM-259,wood engraving,"['TM-17', 'TM-4']","['TM-259', 'TM-17', 'TM-4']","['wood engraving', 'print', 'prints and drawing']",,[],[],[],TM-2982,[],['TM-2982'],['paper (fiber product)'],,[],[],[],[],49fbe4df-2733-0496-c2bb-2ab1f5a12504,[],[],[],[],[],[],[],[],"[{'input': ['1946.1003'], 'contexts': {'groupings': ['accession']}}, {'input': ['Verona, Evening Scene'], 'weight': 1, 'contexts': {'groupings': ['title']}}]",2026-05-01T09:34:44-05:00,2026-05-27T02:31:37-05:00,2026-05-27T02:31:39-05:00,"data:image/gif;base64,R0lGODlhBAAFAPQAAKOMbaebgq2Zgrali8C2oNrayenkzOvkzunm0Ovn0ezn0e3o0uzp1O/r1u/s2fLt2vPw2/Px3PLw3/Tw3gAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACH5BAAAAAAAIf8LSW1hZ2VNYWdpY2sOZ2FtbWE9MC40NTQ1NDUALAAAAAAEAAUAAAUR4ONIU1MQCiIARjMEiCFBSwgAOw==",2270.0,3000.0,"A work made of steel etching, aquatint, and stipple printed in black, with block printing in colors, on wove paper, laid down on original stamped mount.",42.0,48.0,59.0,0.00020558002936857565,14.0,,,
59520,artworks,https://api.artic.edu/api/v1/artworks/59520,False,"The Departure of the Camden, Missionary Ship",,1946.972,True,,1838.0,1838.0,1838,,,"George Baxter
English, 1804-1867",England,,,Sheet: 14.7 × 24.6 cm (5 13/16 × 9 11/16 in.); mount: 25.7 × 35.1 cm (10 1/8 × 13 7/8 in.),"[{'depth': None, 'width': 24, 'height': 14, 'diameter': None, 'clarification': 'Sheet'}, {'depth': None, 'width': 35, 'height': 25, 'diameter': None, 'clarification': 'mount'}]","Steel etching printed in blue, with block printing in colors, on wove paper, laid down on original mount",,Gift of Henry M. Huxley,<p>Lewis 80</p>,,,,,Web Cataloged,3,,,True,True,-1,,False,False,False,0.0,,,,False,,,,,Print,18,Prints and Drawings,PC-13,33554.0,George Baxter,[],[33554],['George Baxter'],['PC-13'],['Prints and Drawings'],"['wood engraving', 'paper (fiber product)', 'print', 'prints and drawing']",,,[],[],[],TM-259,wood engraving,"['TM-17', 'TM-4']","['TM-259', 'TM-17', 'TM-4']","['wood engraving', 'print', 'prints and drawing']",,[],[],[],TM-2982,[],['TM-2982'],['paper (fiber product)'],,[],[],[],[],626191fb-1e5e-0606-66e0-2c12d2ac3ea1,[],[],[],[],[],[],[],[],"[{'input': ['1946.972'], 'contexts': {'groupings': ['accession']}}, {'input': ['The Departure of the Camden, Missionary Ship'], 'weight': 1, 'contexts': {'groupings': ['title']}}]",2026-05-01T09:34:44-05:00,2026-05-27T02:31:37-05:00,2026-05-27T02:31:39-05:00,"data:image/gif;base64,R0lGODlhBwAFAPUAAJGNcZKPcpqTdJ2ZfLqvjcq0jMm2jcu2js25kc65kM66k8+6lM66ldC6kdC7ktO/ldG+l9bAl9bBl9bCmdbDmdjDnNrFndvGnc/HqdfLp9LLr9jKqtnQrt3RstvRtN/UtODRq+TWswAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACH5BAAAAAAAIf8LSW1hZ2VNYWdpY2sOZ2FtbWE9MC40NTQ1NDUALAAAAAAHAAUAAAYgQEtkMoEkEpGNpxMCJSwfDYaTgVgIAwBAwKg0GoYwIwgAOw==",3000.0,2201.0,"A work made of steel etching printed in blue, with block printing in colors, on wove paper, laid down on original mount.",38.0,64.0,35.0,0.01488717249734969,983.0,,,
