wins,year,goals_for,ot_losses,team_name,win_percent,goals_against,goal_difference,plus_minus
30,1991,234,,Toronto Maple Leafs,0.375,294,,-60
42,1991,285,,Vancouver Canucks,0.525,250,,35
45,1991,330,,Washington Capitals,0.562,275,,55
33,1991,251,,Winnipeg Jets,0.412,244,,7
51,1992,332,,Boston Bruins,0.607,268,,64
38,1992,335,,Buffalo Sabres,0.452,297,,38
43,1992,322,,Calgary Flames,0.512,282,,40
47,1992,279,,Chicago Blackhawks,0.56,230,,49
47,1992,369,,Detroit Red Wings,0.56,280,,89
26,1992,242,,Edmonton Oilers,0.31,337,,-95
26,1992,284,,Hartford Whalers,0.31,369,,-85
39,1992,338,,Los Angeles Kings,0.464,340,,-2
27,1990,256,,Minnesota North Stars,0.338,266,,-10
44,1990,299,,Boston Bruins,0.55,264,,35
31,1990,292,,Buffalo Sabres,0.388,278,,14
46,1990,344,,Calgary Flames,0.575,263,,81
49,1990,284,,Chicago Blackhawks,0.613,211,,73
34,1990,273,,Detroit Red Wings,0.425,298,,-25
37,1990,272,,Edmonton Oilers,0.463,272,,0
31,1990,238,,Hartford Whalers,0.388,276,,-38
46,1990,340,,Los Angeles Kings,0.575,254,,86
27,1990,256,,Minnesota North Stars,0.338,266,,-10
39,1990,273,,Montreal Canadiens,0.487,249,,24
32,1990,272,,New Jersey Devils,0.4,264,,8
25,1990,223,,New York Islanders,0.312,290,,-67
36,1990,297,,New York Rangers,0.45,265,,32
33,1990,252,,Philadelphia Flyers,0.412,267,,-15
41,1990,342,,Pittsburgh Penguins,0.512,305,,37
16,1990,236,,Quebec Nordiques,0.2,354,,-118
47,1990,310,,St. Louis Blues,0.588,250,,60
23,1990,241,,Toronto Maple Leafs,0.287,318,,-77
28,1990,243,,Vancouver Canucks,0.35,315,,-72
37,1990,258,,Washington Capitals,0.463,258,,0
26,1990,260,,Winnipeg Jets,0.325,288,,-28
36,1991,270,,Boston Bruins,0.45,275,,-5
31,1991,289,,Buffalo Sabres,0.388,299,,-10
31,1991,296,,Calgary Flames,0.388,305,,-9
36,1991,257,,Chicago Blackhawks,0.45,236,,21
43,1991,320,,Detroit Red Wings,0.537,256,,64
36,1991,295,,Edmonton Oilers,0.45,297,,-2
26,1991,247,,Hartford Whalers,0.325,283,,-36
35,1991,287,,Los Angeles Kings,0.438,296,,-9
32,1991,246,,Minnesota North Stars,0.4,278,,-32
41,1991,267,,Montreal Canadiens,0.512,207,,60
38,1991,289,,New Jersey Devils,0.475,259,,30
36,1992,272,,Minnesota North Stars,0.429,293,,-21
48,1992,326,,Montreal Canadiens,0.571,280,,46
40,1992,308,,New Jersey Devils,0.476,299,,9
40,1992,335,,New York Islanders,0.476,297,,38
34,1992,304,,New York Rangers,0.405,308,,-4
10,1992,202,,Ottawa Senators,0.119,395,,-193
36,1992,319,,Philadelphia Flyers,0.429,319,,0
56,1992,367,,Pittsburgh Penguins,0.667,268,,99
47,1992,351,,Quebec Nordiques,0.56,300,,51
11,1992,218,,San Jose Sharks,0.131,414,,-196
37,1992,282,,St. Louis Blues,0.44,278,,4
23,1992,245,,Tampa Bay Lightning,0.274,332,,-87
44,1992,288,,Toronto Maple Leafs,0.524,241,,47
46,1992,346,,Vancouver Canucks,0.548,278,,68
43,1992,325,,Washington Capitals,0.512,286,,39
40,1992,322,,Winnipeg Jets,0.476,320,,2
33,1993,229,,Mighty Ducks of Anaheim,0.393,251,,-22
42,1993,289,,Boston Bruins,0.5,252,,37
43,1993,282,,Buffalo Sabres,0.512,218,,64
42,1993,302,,Calgary Flames,0.5,256,,46
39,1993,254,,Chicago Blackhawks,0.464,240,,14
42,1993,286,,Dallas Stars,0.5,265,,21
46,1993,356,,Detroit Red Wings,0.548,275,,81
25,1993,261,,Edmonton Oilers,0.298,305,,-44
33,1993,233,,Florida Panthers,0.393,233,,0
27,1993,227,,Hartford Whalers,0.321,288,,-61
27,1993,294,,Los Angeles Kings,0.321,322,,-28
41,1993,283,,Montreal Canadiens,0.488,248,,35
47,1993,306,,New Jersey Devils,0.56,220,,86
36,1993,282,,New York Islanders,0.429,264,,18
52,1993,299,,New York Rangers,0.619,231,,68
14,1993,201,,Ottawa Senators,0.167,397,,-196
35,1993,294,,Philadelphia Flyers,0.417,314,,-20
44,1993,299,,Pittsburgh Penguins,0.524,285,,14
22,1994,130,,Buffalo Sabres,0.458,119,,11
24,1994,163,,Calgary Flames,0.5,135,,28
24,1994,156,,Chicago Blackhawks,0.5,115,,41
17,1994,136,,Dallas Stars,0.354,135,,1
33,1994,180,,Detroit Red Wings,0.688,117,,63
