wins,goals_for,team_name,win_percent,goals_against,goal_difference
0.782608695652174,0.8811475409836065,9,0.8014059753954305,0.46488294314381273,0.9559322033898305
0.3695652173913043,0.5368852459016393,11,0.3848857644991214,0.5050167224080268,0.6305084745762711
0.6304347826086957,0.6065573770491803,12,0.6467486818980668,0.4481605351170569,0.7457627118644068
0.4782608695652174,0.6024590163934427,13,0.4938488576449913,0.4983277591973244,0.6915254237288135
0.32608695652173914,0.4016393442622951,14,0.3391915641476274,0.5852842809364549,0.43728813559322033
0.5652173913043478,0.7049180327868851,15,0.5817223198594025,0.5016722408026756,0.7728813559322033
0.5,0.5204918032786885,17,0.5149384885764499,0.5083612040133779,0.6135593220338983
0.6739130434782609,0.889344262295082,18,0.6906854130052725,0.6354515050167224,0.7898305084745763
0.13043478260869565,0.45491803278688525,19,0.14235500878734628,0.7993311036789297,0.26440677966101694
0.8043478260869564,0.7581967213114753,21,0.8242530755711776,0.45150501672240806,0.8677966101694915
0.28260869565217395,0.47540983606557374,23,0.29525483304042177,0.6789297658862876,0.40338983050847455
0.39130434782608703,0.48360655737704916,24,0.4059753954305799,0.6688963210702341,0.42033898305084744
0.5869565217391305,0.5450819672131146,25,0.6045694200351495,0.4782608695652174,0.6644067796610169
0.34782608695652173,0.5532786885245902,26,0.3620386643233744,0.5785953177257526,0.5694915254237287
0.5652173913043478,0.5942622950819672,0,0.5817223198594025,0.5351170568561873,0.6474576271186441
0.4565217391304348,0.6721311475409837,1,0.47275922671353254,0.6153846153846154,0.6305084745762711
0.4565217391304348,0.7008196721311475,2,0.47275922671353254,0.6354515050167224,0.6338983050847458
0.5652173913043478,0.540983606557377,3,0.5817223198594025,0.4046822742474917,0.735593220338983
0.717391304347826,0.7991803278688525,5,0.7346221441124782,0.47157190635451507,0.8813559322033898
0.5652173913043478,0.6967213114754098,6,0.5817223198594025,0.6086956521739131,0.6576271186440678
0.34782608695652173,0.5,8,0.3620386643233744,0.5618729096989967,0.5423728813559322
0.5434782608695652,0.6639344262295082,9,0.5606326889279438,0.6053511705685619,0.6338983050847458
0.4782608695652174,0.49590163934426235,11,0.4938488576449913,0.5451505016722408,0.5559322033898305
0.6739130434782609,0.5819672131147542,12,0.6906854130052725,0.3076923076923077,0.8677966101694915
0.6086956521739131,0.6721311475409837,13,0.6256590509666081,0.4816053511705686,0.7661016949152541
0.5217391304347826,0.680327868852459,14,0.5377855887521968,0.6153846153846154,0.6372881355932203
0.8695652173913043,0.8032786885245902,15,0.889279437609842,0.4381270903010034,0.9186440677966101
0.4782608695652174,0.5204918032786885,17,0.4938488576449913,0.5284280936454849,0.5932203389830508
0.6304347826086957,0.8934426229508197,18,0.6467486818980668,0.6454849498327759,0.7830508474576271
0.21739130434782608,0.5327868852459017,19,0.2302284710017575,0.6789297658862876,0.45084745762711864
