Wins,Losses,Goals_For,Team_Name,Plus_Minus,Goals_Against
32,0.3928571428571429,0.4049586776859504,2,0.6176470588235293,0.3706293706293706
25,0.8214285714285713,0.0,3,0.24999999999999994,0.5524475524475523
36,0.3214285714285713,0.6115702479338843,4,0.7352941176470588,0.3776223776223775
33,0.5357142857142857,0.2396694214876034,5,0.5049019607843137,0.39160839160839145
41,0.3928571428571429,0.9834710743801651,6,0.7598039215686274,0.6573426573426573
16,0.9999999999999999,0.1074380165289257,7,0.0,0.9999999999999998
47,0.0,0.7190082644628097,8,0.8725490196078431,0.2727272727272727
23,0.8571428571428571,0.14876033057851235,9,0.2009803921568627,0.7482517482517481
28,0.7499999999999999,0.16528925619834722,10,0.22549019607843135,0.7272727272727273
37,0.4999999999999999,0.28925619834710736,11,0.5784313725490196,0.32867132867132853
26,0.7499999999999999,0.305785123966942,13,0.4411764705882352,0.5384615384615385
36,0.3571428571428571,0.38842975206611574,0,0.5539215686274509,0.4475524475524475
31,0.5357142857142857,0.5454545454545456,1,0.5294117647058822,0.6153846153846152
31,0.5357142857142857,0.6033057851239667,12,0.5343137254901961,0.6573426573426573
36,0.2499999999999999,0.28099173553719026,14,0.6813725490196078,0.1748251748251748
44,0.0714285714285714,0.6280991735537189,0,0.75,0.3706293706293706
31,0.2857142857142857,0.5702479338842974,1,0.6470588235294117,0.4685314685314683
46,0.1428571428571428,1.0000000000000002,12,0.9754901960784312,0.36363636363636354
49,0.0357142857142857,0.5041322314049588,14,0.9362745098039216,0.0
34,0.5714285714285713,0.41322314049586795,15,0.4558823529411764,0.6083916083916081
37,0.5357142857142857,0.4049586776859504,16,0.5784313725490196,0.42657342657342645
31,0.5714285714285713,0.12396694214876036,17,0.392156862745098,0.45454545454545436
46,0.0714285714285714,0.9669421487603305,18,1.0,0.3006993006993006
27,0.6071428571428571,0.2727272727272727,19,0.5294117647058822,0.3846153846153846
39,0.2857142857142857,0.41322314049586795,20,0.696078431372549,0.2657342657342656
32,0.3928571428571429,0.4049586776859504,2,0.6176470588235293,0.3706293706293706
25,0.8214285714285713,0.0,3,0.24999999999999994,0.5524475524475523
36,0.3214285714285713,0.6115702479338843,4,0.7352941176470588,0.3776223776223775
33,0.5357142857142857,0.2396694214876034,5,0.5049019607843137,0.39160839160839145
41,0.3928571428571429,0.9834710743801651,6,0.7598039215686274,0.6573426573426573
16,0.9999999999999999,0.1074380165289257,7,0.0,0.9999999999999998
47,0.0,0.7190082644628097,8,0.8725490196078431,0.2727272727272727
23,0.8571428571428571,0.14876033057851235,9,0.2009803921568627,0.7482517482517481
28,0.7499999999999999,0.16528925619834722,10,0.22549019607843135,0.7272727272727273
37,0.4999999999999999,0.28925619834710736,11,0.5784313725490196,0.32867132867132853
26,0.7499999999999999,0.305785123966942,13,0.4411764705882352,0.5384615384615385
36,0.3571428571428571,0.38842975206611574,0,0.5539215686274509,0.4475524475524475
31,0.5357142857142857,0.5454545454545456,1,0.5294117647058822,0.6153846153846152
31,0.5357142857142857,0.6033057851239667,12,0.5343137254901961,0.6573426573426573
36,0.2499999999999999,0.28099173553719026,14,0.6813725490196078,0.1748251748251748
44,0.0714285714285714,0.6280991735537189,0,0.75,0.3706293706293706
31,0.2857142857142857,0.5702479338842974,1,0.6470588235294117,0.4685314685314683
46,0.1428571428571428,1.0000000000000002,12,0.9754901960784312,0.36363636363636354
49,0.0357142857142857,0.5041322314049588,14,0.9362745098039216,0.0
34,0.5714285714285713,0.41322314049586795,15,0.4558823529411764,0.6083916083916081
37,0.5357142857142857,0.4049586776859504,16,0.5784313725490196,0.42657342657342645
31,0.5714285714285713,0.12396694214876036,17,0.392156862745098,0.45454545454545436
46,0.0714285714285714,0.9669421487603305,18,1.0,0.3006993006993006
27,0.6071428571428571,0.2727272727272727,19,0.5294117647058822,0.3846153846153846
39,0.2857142857142857,0.41322314049586795,20,0.696078431372549,0.2657342657342656
32,0.3928571428571429,0.4049586776859504,2,0.6176470588235293,0.3706293706293706
25,0.8214285714285713,0.0,3,0.24999999999999994,0.5524475524475523
36,0.3214285714285713,0.6115702479338843,4,0.7352941176470588,0.3776223776223775
33,0.5357142857142857,0.2396694214876034,5,0.5049019607843137,0.39160839160839145
41,0.3928571428571429,0.9834710743801651,6,0.7598039215686274,0.6573426573426573
16,0.9999999999999999,0.1074380165289257,7,0.0,0.9999999999999998
47,0.0,0.7190082644628097,8,0.8725490196078431,0.2727272727272727
23,0.8571428571428571,0.14876033057851235,9,0.2009803921568627,0.7482517482517481
28,0.7499999999999999,0.16528925619834722,10,0.22549019607843135,0.7272727272727273
37,0.4999999999999999,0.28925619834710736,11,0.5784313725490196,0.32867132867132853
26,0.7499999999999999,0.305785123966942,13,0.4411764705882352,0.5384615384615385
36,0.3571428571428571,0.38842975206611574,0,0.5539215686274509,0.4475524475524475
31,0.5357142857142857,0.5454545454545456,1,0.5294117647058822,0.6153846153846152
31,0.5357142857142857,0.6033057851239667,12,0.5343137254901961,0.6573426573426573
36,0.2499999999999999,0.28099173553719026,14,0.6813725490196078,0.1748251748251748
44,0.0714285714285714,0.6280991735537189,0,0.75,0.3706293706293706
31,0.2857142857142857,0.5702479338842974,1,0.6470588235294117,0.4685314685314683
46,0.1428571428571428,1.0000000000000002,12,0.9754901960784312,0.36363636363636354
49,0.0357142857142857,0.5041322314049588,14,0.9362745098039216,0.0
34,0.5714285714285713,0.41322314049586795,15,0.4558823529411764,0.6083916083916081
37,0.5357142857142857,0.4049586776859504,16,0.5784313725490196,0.42657342657342645
31,0.5714285714285713,0.12396694214876036,17,0.392156862745098,0.45454545454545436
46,0.0714285714285714,0.9669421487603305,18,1.0,0.3006993006993006
27,0.6071428571428571,0.2727272727272727,19,0.5294117647058822,0.3846153846153846
39,0.2857142857142857,0.41322314049586795,20,0.696078431372549,0.2657342657342656
32,0.3928571428571429,0.4049586776859504,2,0.6176470588235293,0.3706293706293706
25,0.8214285714285713,0.0,3,0.24999999999999994,0.5524475524475523
36,0.3214285714285713,0.6115702479338843,4,0.7352941176470588,0.3776223776223775
33,0.5357142857142857,0.2396694214876034,5,0.5049019607843137,0.39160839160839145
41,0.3928571428571429,0.9834710743801651,6,0.7598039215686274,0.6573426573426573
16,0.9999999999999999,0.1074380165289257,7,0.0,0.9999999999999998
47,0.0,0.7190082644628097,8,0.8725490196078431,0.2727272727272727
23,0.8571428571428571,0.14876033057851235,9,0.2009803921568627,0.7482517482517481
28,0.7499999999999999,0.16528925619834722,10,0.22549019607843135,0.7272727272727273
37,0.4999999999999999,0.28925619834710736,11,0.5784313725490196,0.32867132867132853
26,0.7499999999999999,0.305785123966942,13,0.4411764705882352,0.5384615384615385
36,0.3571428571428571,0.38842975206611574,0,0.5539215686274509,0.4475524475524475
31,0.5357142857142857,0.5454545454545456,1,0.5294117647058822,0.6153846153846152
31,0.5357142857142857,0.6033057851239667,12,0.5343137254901961,0.6573426573426573
36,0.2499999999999999,0.28099173553719026,14,0.6813725490196078,0.1748251748251748
44,0.0714285714285714,0.6280991735537189,0,0.75,0.3706293706293706
31,0.2857142857142857,0.5702479338842974,1,0.6470588235294117,0.4685314685314683
46,0.1428571428571428,1.0000000000000002,12,0.9754901960784312,0.36363636363636354
49,0.0357142857142857,0.5041322314049588,14,0.9362745098039216,0.0
34,0.5714285714285713,0.41322314049586795,15,0.4558823529411764,0.6083916083916081
37,0.5357142857142857,0.4049586776859504,16,0.5784313725490196,0.42657342657342645
31,0.5714285714285713,0.12396694214876036,17,0.392156862745098,0.45454545454545436
46,0.0714285714285714,0.9669421487603305,18,1.0,0.3006993006993006
27,0.6071428571428571,0.2727272727272727,19,0.5294117647058822,0.3846153846153846
39,0.2857142857142857,0.41322314049586795,20,0.696078431372549,0.2657342657342656
32,0.3928571428571429,0.4049586776859504,2,0.6176470588235293,0.3706293706293706
25,0.8214285714285713,0.0,3,0.24999999999999994,0.5524475524475523
36,0.3214285714285713,0.6115702479338843,4,0.7352941176470588,0.3776223776223775
33,0.5357142857142857,0.2396694214876034,5,0.5049019607843137,0.39160839160839145
41,0.3928571428571429,0.9834710743801651,6,0.7598039215686274,0.6573426573426573
16,0.9999999999999999,0.1074380165289257,7,0.0,0.9999999999999998
47,0.0,0.7190082644628097,8,0.8725490196078431,0.2727272727272727
23,0.8571428571428571,0.14876033057851235,9,0.2009803921568627,0.7482517482517481
28,0.7499999999999999,0.16528925619834722,10,0.22549019607843135,0.7272727272727273
37,0.4999999999999999,0.28925619834710736,11,0.5784313725490196,0.32867132867132853
26,0.7499999999999999,0.305785123966942,13,0.4411764705882352,0.5384615384615385
36,0.3571428571428571,0.38842975206611574,0,0.5539215686274509,0.4475524475524475
31,0.5357142857142857,0.5454545454545456,1,0.5294117647058822,0.6153846153846152
31,0.5357142857142857,0.6033057851239667,12,0.5343137254901961,0.6573426573426573
36,0.2499999999999999,0.28099173553719026,14,0.6813725490196078,0.1748251748251748
44,0.0714285714285714,0.6280991735537189,0,0.75,0.3706293706293706
31,0.2857142857142857,0.5702479338842974,1,0.6470588235294117,0.4685314685314683
46,0.1428571428571428,1.0000000000000002,12,0.9754901960784312,0.36363636363636354
49,0.0357142857142857,0.5041322314049588,14,0.9362745098039216,0.0
34,0.5714285714285713,0.41322314049586795,15,0.4558823529411764,0.6083916083916081
37,0.5357142857142857,0.4049586776859504,16,0.5784313725490196,0.42657342657342645
31,0.5714285714285713,0.12396694214876036,17,0.392156862745098,0.45454545454545436
46,0.0714285714285714,0.9669421487603305,18,1.0,0.3006993006993006
27,0.6071428571428571,0.2727272727272727,19,0.5294117647058822,0.3846153846153846
39,0.2857142857142857,0.41322314049586795,20,0.696078431372549,0.2657342657342656
32,0.3928571428571429,0.4049586776859504,2,0.6176470588235293,0.3706293706293706
25,0.8214285714285713,0.0,3,0.24999999999999994,0.5524475524475523
36,0.3214285714285713,0.6115702479338843,4,0.7352941176470588,0.3776223776223775
33,0.5357142857142857,0.2396694214876034,5,0.5049019607843137,0.39160839160839145
41,0.3928571428571429,0.9834710743801651,6,0.7598039215686274,0.6573426573426573
16,0.9999999999999999,0.1074380165289257,7,0.0,0.9999999999999998
47,0.0,0.7190082644628097,8,0.8725490196078431,0.2727272727272727
23,0.8571428571428571,0.14876033057851235,9,0.2009803921568627,0.7482517482517481
28,0.7499999999999999,0.16528925619834722,10,0.22549019607843135,0.7272727272727273
37,0.4999999999999999,0.28925619834710736,11,0.5784313725490196,0.32867132867132853
26,0.7499999999999999,0.305785123966942,13,0.4411764705882352,0.5384615384615385
36,0.3571428571428571,0.38842975206611574,0,0.5539215686274509,0.4475524475524475
31,0.5357142857142857,0.5454545454545456,1,0.5294117647058822,0.6153846153846152
31,0.5357142857142857,0.6033057851239667,12,0.5343137254901961,0.6573426573426573
36,0.2499999999999999,0.28099173553719026,14,0.6813725490196078,0.1748251748251748
44,0.0714285714285714,0.6280991735537189,0,0.75,0.3706293706293706
31,0.2857142857142857,0.5702479338842974,1,0.6470588235294117,0.4685314685314683
46,0.1428571428571428,1.0000000000000002,12,0.9754901960784312,0.36363636363636354
49,0.0357142857142857,0.5041322314049588,14,0.9362745098039216,0.0
34,0.5714285714285713,0.41322314049586795,15,0.4558823529411764,0.6083916083916081
37,0.5357142857142857,0.4049586776859504,16,0.5784313725490196,0.42657342657342645
31,0.5714285714285713,0.12396694214876036,17,0.392156862745098,0.45454545454545436
46,0.0714285714285714,0.9669421487603305,18,1.0,0.3006993006993006
27,0.6071428571428571,0.2727272727272727,19,0.5294117647058822,0.3846153846153846
39,0.2857142857142857,0.41322314049586795,20,0.696078431372549,0.2657342657342656
32,0.3928571428571429,0.4049586776859504,2,0.6176470588235293,0.3706293706293706
25,0.8214285714285713,0.0,3,0.24999999999999994,0.5524475524475523
36,0.3214285714285713,0.6115702479338843,4,0.7352941176470588,0.3776223776223775
33,0.5357142857142857,0.2396694214876034,5,0.5049019607843137,0.39160839160839145
41,0.3928571428571429,0.9834710743801651,6,0.7598039215686274,0.6573426573426573
16,0.9999999999999999,0.1074380165289257,7,0.0,0.9999999999999998
47,0.0,0.7190082644628097,8,0.8725490196078431,0.2727272727272727
23,0.8571428571428571,0.14876033057851235,9,0.2009803921568627,0.7482517482517481
28,0.7499999999999999,0.16528925619834722,10,0.22549019607843135,0.7272727272727273
37,0.4999999999999999,0.28925619834710736,11,0.5784313725490196,0.32867132867132853
26,0.7499999999999999,0.305785123966942,13,0.4411764705882352,0.5384615384615385
36,0.3571428571428571,0.38842975206611574,0,0.5539215686274509,0.4475524475524475
31,0.5357142857142857,0.5454545454545456,1,0.5294117647058822,0.6153846153846152
31,0.5357142857142857,0.6033057851239667,12,0.5343137254901961,0.6573426573426573
36,0.2499999999999999,0.28099173553719026,14,0.6813725490196078,0.1748251748251748
44,0.0714285714285714,0.6280991735537189,0,0.75,0.3706293706293706
31,0.2857142857142857,0.5702479338842974,1,0.6470588235294117,0.4685314685314683
46,0.1428571428571428,1.0000000000000002,12,0.9754901960784312,0.36363636363636354
49,0.0357142857142857,0.5041322314049588,14,0.9362745098039216,0.0
34,0.5714285714285713,0.41322314049586795,15,0.4558823529411764,0.6083916083916081
37,0.5357142857142857,0.4049586776859504,16,0.5784313725490196,0.42657342657342645
31,0.5714285714285713,0.12396694214876036,17,0.392156862745098,0.45454545454545436
46,0.0714285714285714,0.9669421487603305,18,1.0,0.3006993006993006
27,0.6071428571428571,0.2727272727272727,19,0.5294117647058822,0.3846153846153846
39,0.2857142857142857,0.41322314049586795,20,0.696078431372549,0.2657342657342656
32,0.3928571428571429,0.4049586776859504,2,0.6176470588235293,0.3706293706293706
25,0.8214285714285713,0.0,3,0.24999999999999994,0.5524475524475523
36,0.3214285714285713,0.6115702479338843,4,0.7352941176470588,0.3776223776223775
33,0.5357142857142857,0.2396694214876034,5,0.5049019607843137,0.39160839160839145
41,0.3928571428571429,0.9834710743801651,6,0.7598039215686274,0.6573426573426573
16,0.9999999999999999,0.1074380165289257,7,0.0,0.9999999999999998
47,0.0,0.7190082644628097,8,0.8725490196078431,0.2727272727272727
23,0.8571428571428571,0.14876033057851235,9,0.2009803921568627,0.7482517482517481
28,0.7499999999999999,0.16528925619834722,10,0.22549019607843135,0.7272727272727273
37,0.4999999999999999,0.28925619834710736,11,0.5784313725490196,0.32867132867132853
26,0.7499999999999999,0.305785123966942,13,0.4411764705882352,0.5384615384615385
36,0.3571428571428571,0.38842975206611574,0,0.5539215686274509,0.4475524475524475
31,0.5357142857142857,0.5454545454545456,1,0.5294117647058822,0.6153846153846152
31,0.5357142857142857,0.6033057851239667,12,0.5343137254901961,0.6573426573426573
36,0.2499999999999999,0.28099173553719026,14,0.6813725490196078,0.1748251748251748
44,0.0714285714285714,0.6280991735537189,0,0.75,0.3706293706293706
31,0.2857142857142857,0.5702479338842974,1,0.6470588235294117,0.4685314685314683
46,0.1428571428571428,1.0000000000000002,12,0.9754901960784312,0.36363636363636354
49,0.0357142857142857,0.5041322314049588,14,0.9362745098039216,0.0
34,0.5714285714285713,0.41322314049586795,15,0.4558823529411764,0.6083916083916081
37,0.5357142857142857,0.4049586776859504,16,0.5784313725490196,0.42657342657342645
31,0.5714285714285713,0.12396694214876036,17,0.392156862745098,0.45454545454545436
46,0.0714285714285714,0.9669421487603305,18,1.0,0.3006993006993006
27,0.6071428571428571,0.2727272727272727,19,0.5294117647058822,0.3846153846153846
39,0.2857142857142857,0.41322314049586795,20,0.696078431372549,0.2657342657342656
32,0.3928571428571429,0.4049586776859504,2,0.6176470588235293,0.3706293706293706
25,0.8214285714285713,0.0,3,0.24999999999999994,0.5524475524475523
36,0.3214285714285713,0.6115702479338843,4,0.7352941176470588,0.3776223776223775
33,0.5357142857142857,0.2396694214876034,5,0.5049019607843137,0.39160839160839145
41,0.3928571428571429,0.9834710743801651,6,0.7598039215686274,0.6573426573426573
16,0.9999999999999999,0.1074380165289257,7,0.0,0.9999999999999998
47,0.0,0.7190082644628097,8,0.8725490196078431,0.2727272727272727
23,0.8571428571428571,0.14876033057851235,9,0.2009803921568627,0.7482517482517481
28,0.7499999999999999,0.16528925619834722,10,0.22549019607843135,0.7272727272727273
37,0.4999999999999999,0.28925619834710736,11,0.5784313725490196,0.32867132867132853
26,0.7499999999999999,0.305785123966942,13,0.4411764705882352,0.5384615384615385
36,0.3571428571428571,0.38842975206611574,0,0.5539215686274509,0.4475524475524475
31,0.5357142857142857,0.5454545454545456,1,0.5294117647058822,0.6153846153846152
31,0.5357142857142857,0.6033057851239667,12,0.5343137254901961,0.6573426573426573
36,0.2499999999999999,0.28099173553719026,14,0.6813725490196078,0.1748251748251748
44,0.0714285714285714,0.6280991735537189,0,0.75,0.3706293706293706
31,0.2857142857142857,0.5702479338842974,1,0.6470588235294117,0.4685314685314683
46,0.1428571428571428,1.0000000000000002,12,0.9754901960784312,0.36363636363636354
49,0.0357142857142857,0.5041322314049588,14,0.9362745098039216,0.0
34,0.5714285714285713,0.41322314049586795,15,0.4558823529411764,0.6083916083916081
37,0.5357142857142857,0.4049586776859504,16,0.5784313725490196,0.42657342657342645
31,0.5714285714285713,0.12396694214876036,17,0.392156862745098,0.45454545454545436
46,0.0714285714285714,0.9669421487603305,18,1.0,0.3006993006993006
27,0.6071428571428571,0.2727272727272727,19,0.5294117647058822,0.3846153846153846
39,0.2857142857142857,0.41322314049586795,20,0.696078431372549,0.2657342657342656
32,0.3928571428571429,0.4049586776859504,2,0.6176470588235293,0.3706293706293706
25,0.8214285714285713,0.0,3,0.24999999999999994,0.5524475524475523
36,0.3214285714285713,0.6115702479338843,4,0.7352941176470588,0.3776223776223775
33,0.5357142857142857,0.2396694214876034,5,0.5049019607843137,0.39160839160839145
41,0.3928571428571429,0.9834710743801651,6,0.7598039215686274,0.6573426573426573
16,0.9999999999999999,0.1074380165289257,7,0.0,0.9999999999999998
47,0.0,0.7190082644628097,8,0.8725490196078431,0.2727272727272727
23,0.8571428571428571,0.14876033057851235,9,0.2009803921568627,0.7482517482517481
28,0.7499999999999999,0.16528925619834722,10,0.22549019607843135,0.7272727272727273
37,0.4999999999999999,0.28925619834710736,11,0.5784313725490196,0.32867132867132853
26,0.7499999999999999,0.305785123966942,13,0.4411764705882352,0.5384615384615385
36,0.3571428571428571,0.38842975206611574,0,0.5539215686274509,0.4475524475524475
31,0.5357142857142857,0.5454545454545456,1,0.5294117647058822,0.6153846153846152
31,0.5357142857142857,0.6033057851239667,12,0.5343137254901961,0.6573426573426573
36,0.2499999999999999,0.28099173553719026,14,0.6813725490196078,0.1748251748251748
44,0.0714285714285714,0.6280991735537189,0,0.75,0.3706293706293706
31,0.2857142857142857,0.5702479338842974,1,0.6470588235294117,0.4685314685314683
46,0.1428571428571428,1.0000000000000002,12,0.9754901960784312,0.36363636363636354
49,0.0357142857142857,0.5041322314049588,14,0.9362745098039216,0.0
34,0.5714285714285713,0.41322314049586795,15,0.4558823529411764,0.6083916083916081
37,0.5357142857142857,0.4049586776859504,16,0.5784313725490196,0.42657342657342645
31,0.5714285714285713,0.12396694214876036,17,0.392156862745098,0.45454545454545436
46,0.0714285714285714,0.9669421487603305,18,1.0,0.3006993006993006
27,0.6071428571428571,0.2727272727272727,19,0.5294117647058822,0.3846153846153846
39,0.2857142857142857,0.41322314049586795,20,0.696078431372549,0.2657342657342656
32,0.3928571428571429,0.4049586776859504,2,0.6176470588235293,0.3706293706293706
25,0.8214285714285713,0.0,3,0.24999999999999994,0.5524475524475523
36,0.3214285714285713,0.6115702479338843,4,0.7352941176470588,0.3776223776223775
33,0.5357142857142857,0.2396694214876034,5,0.5049019607843137,0.39160839160839145
41,0.3928571428571429,0.9834710743801651,6,0.7598039215686274,0.6573426573426573
16,0.9999999999999999,0.1074380165289257,7,0.0,0.9999999999999998
47,0.0,0.7190082644628097,8,0.8725490196078431,0.2727272727272727
23,0.8571428571428571,0.14876033057851235,9,0.2009803921568627,0.7482517482517481
28,0.7499999999999999,0.16528925619834722,10,0.22549019607843135,0.7272727272727273
37,0.4999999999999999,0.28925619834710736,11,0.5784313725490196,0.32867132867132853
26,0.7499999999999999,0.305785123966942,13,0.4411764705882352,0.5384615384615385
36,0.3571428571428571,0.38842975206611574,0,0.5539215686274509,0.4475524475524475
31,0.5357142857142857,0.5454545454545456,1,0.5294117647058822,0.6153846153846152
31,0.5357142857142857,0.6033057851239667,12,0.5343137254901961,0.6573426573426573
36,0.2499999999999999,0.28099173553719026,14,0.6813725490196078,0.1748251748251748
44,0.0714285714285714,0.6280991735537189,0,0.75,0.3706293706293706
31,0.2857142857142857,0.5702479338842974,1,0.6470588235294117,0.4685314685314683
46,0.1428571428571428,1.0000000000000002,12,0.9754901960784312,0.36363636363636354
49,0.0357142857142857,0.5041322314049588,14,0.9362745098039216,0.0
34,0.5714285714285713,0.41322314049586795,15,0.4558823529411764,0.6083916083916081
37,0.5357142857142857,0.4049586776859504,16,0.5784313725490196,0.42657342657342645
31,0.5714285714285713,0.12396694214876036,17,0.392156862745098,0.45454545454545436
46,0.0714285714285714,0.9669421487603305,18,1.0,0.3006993006993006
27,0.6071428571428571,0.2727272727272727,19,0.5294117647058822,0.3846153846153846
39,0.2857142857142857,0.41322314049586795,20,0.696078431372549,0.2657342657342656
32,0.3928571428571429,0.4049586776859504,2,0.6176470588235293,0.3706293706293706
25,0.8214285714285713,0.0,3,0.24999999999999994,0.5524475524475523
36,0.3214285714285713,0.6115702479338843,4,0.7352941176470588,0.3776223776223775
33,0.5357142857142857,0.2396694214876034,5,0.5049019607843137,0.39160839160839145
41,0.3928571428571429,0.9834710743801651,6,0.7598039215686274,0.6573426573426573
16,0.9999999999999999,0.1074380165289257,7,0.0,0.9999999999999998
47,0.0,0.7190082644628097,8,0.8725490196078431,0.2727272727272727
23,0.8571428571428571,0.14876033057851235,9,0.2009803921568627,0.7482517482517481
28,0.7499999999999999,0.16528925619834722,10,0.22549019607843135,0.7272727272727273
37,0.4999999999999999,0.28925619834710736,11,0.5784313725490196,0.32867132867132853
26,0.7499999999999999,0.305785123966942,13,0.4411764705882352,0.5384615384615385
36,0.3571428571428571,0.38842975206611574,0,0.5539215686274509,0.4475524475524475
31,0.5357142857142857,0.5454545454545456,1,0.5294117647058822,0.6153846153846152
31,0.5357142857142857,0.6033057851239667,12,0.5343137254901961,0.6573426573426573
36,0.2499999999999999,0.28099173553719026,14,0.6813725490196078,0.1748251748251748
44,0.0714285714285714,0.6280991735537189,0,0.75,0.3706293706293706
31,0.2857142857142857,0.5702479338842974,1,0.6470588235294117,0.4685314685314683
46,0.1428571428571428,1.0000000000000002,12,0.9754901960784312,0.36363636363636354
49,0.0357142857142857,0.5041322314049588,14,0.9362745098039216,0.0
34,0.5714285714285713,0.41322314049586795,15,0.4558823529411764,0.6083916083916081
37,0.5357142857142857,0.4049586776859504,16,0.5784313725490196,0.42657342657342645
31,0.5714285714285713,0.12396694214876036,17,0.392156862745098,0.45454545454545436
46,0.0714285714285714,0.9669421487603305,18,1.0,0.3006993006993006
27,0.6071428571428571,0.2727272727272727,19,0.5294117647058822,0.3846153846153846
39,0.2857142857142857,0.41322314049586795,20,0.696078431372549,0.2657342657342656
